price, sqft
0, 948
2062, 948
0, 714
1883, 714
2160, 1170
0, 948
2079, 1074
1677, 1074
2441, 1074
2206, 1074
1446, 652
